Instance, Start Time, Type, NE, Alarm No, Description, Supp Info, Cancle Time, Star Rating
2847,2017-10-27 04:28:31.22,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D3 FFFF,2017-10-27 04:28:31.37,.
2848,2017-10-27 04:29:02.55,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D6 FFFF,2017-10-27 04:29:02.81,.
1840,2017-10-27 03:44:42.10,SWITCH,BCSU-1 1A003-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CF FFFF,2017-10-27 03:44:42.88,.
2850,2017-10-27 04:29:11.25,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-10-27 04:29:11.52,.
475,2017-10-27 03:05:59.68,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-10-27 03:05:59.82,.
2852,2017-10-27 04:29:31.78,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-10-27 04:29:31.99,.
476,2017-10-27 03:06:05.47,SWITCH,BCSU-4 1A004-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00C2 FFFF,2017-10-27 03:06:12.16,.
2859,2017-10-27 04:29:41.05,SWITCH,BCSU-1 1A003-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CF FFFF,2017-10-27 04:29:41.06,.
1459,2017-10-27 03:33:36.35,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D1 FFFF,2017-10-27 03:33:42.89,.
477,2017-10-27 03:06:05.53,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D4 FFFF,2017-10-27 03:06:09.23,.
2864,2017-10-27 04:29:52.64,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D5 FFFF,2017-10-27 04:29:54.02,.
2865,2017-10-27 04:29:52.68,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D4 FFFF,2017-10-27 04:29:53.90,.
2866,2017-10-27 04:29:52.74,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D6 FFFF,2017-10-27 04:29:53.83,.
2867,2017-10-27 04:29:52.75,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D7 FFFF,2017-10-27 04:29:53.92,.
2868,2017-10-27 04:29:53.04,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D0 FFFF,2017-10-27 04:29:53.99,.
478,2017-10-27 03:06:05.56,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D1 FFFF,2017-10-27 03:06:09.31,.
2870,2017-10-27 04:29:53.13,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-10-27 04:29:54.20,.
2871,2017-10-27 04:29:53.20,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D3 FFFF,2017-10-27 04:29:54.08,.
2872,2017-10-27 04:29:53.21,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D1 FFFF,2017-10-27 04:29:54.05,.
2873,2017-10-27 04:29:53.29,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CD FFFF,2017-10-27 04:29:53.97,.
